Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","41,207,311.44","3.88","41,207,311.44","171,869.00","084670702","US0846707026","2073390","239.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","38,543,111.77","3.63","38,543,111.77","276,751.00","46625H100","US46625H1005","2190385","139.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","34,644,267.50","3.26","34,644,267.50","208,625.00","478160104","US4781601046","2475833","166.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","31,523,822.84","2.97","31,523,822.84","165,124.00","254687106","US2546871060","2270726","190.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","23,236,394.64","2.19","23,236,394.64","706,703.00","060505104","US0605051046","2295677","32.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","22,737,248.46","2.14","22,737,248.46","374,831.00","458140100","US4581401001","2463247","60.66","United States","NASDAQ","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","22,038,391.06","2.08","22,038,391.06","414,022.00","20030N101","US20030N1019","2044545","53.23","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","20,670,686.40","1.95","20,670,686.40","378,584.00","92343V104","US92343V1044","2090571","54.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","19,272,579.76","1.82","19,272,579.76","386,689.00","30231G102","US30231G1022","2326618","49.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","18,692,194.87","1.76","18,692,194.87","651,523.00","00206R102","US00206R1023","2831811","28.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","18,459,898.08","1.74","18,459,898.08","387,976.00","17275R102","US17275R1023","2198163","47.58","United States","NASDAQ","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","18,334,754.14","1.73","18,334,754.14","127,307.00","931142103","US9311421039","2936921","144.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","17,493,435.41","1.65","17,493,435.41","508,087.00","717081103","US7170811035","2684703","34.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","16,192,023.24","1.53","16,192,023.24","175,962.00","166764100","US1667641005","2838555","92.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","15,799,219.62","1.49","15,799,219.62","123,114.00","742718109","US7427181091","2704407","128.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
